Escort E-HU44 Ekawsykua MCr379.2

Owner: Aslan

Using an 800-ton hull, the Hkualriy is an Ekawsykua-class escort: a military vessel employed by clans for space patrol and combat duties. It mounts the Tiyyuou Engines 4xR jump drive, the Khtouai-Htauiea 47.R maneuver drive, and the Rf-4 Uiyae power plant, giving performance of Jump-4 and 4G acceleration. Fuel tankage supports 2 weeks of operations and one jump-4, as well as a 2-week reserve for use by the vessel's smallcraft. On the bridge is a computer Model/5.

There are eight staterooms, fifteen spacer niches, two squad barracks, and no low berths. The ship has two triple lasers, three triple missile racks, two triple sandcasters, and one triple commcaster. The ship carries two armed pinnaces and five fighters for scouting and patrol duties. Cargo capacity is 30 tons. The ship is unstreamlined.

The escort requires a crew of eight: captain/pilot, astrogator, four engineers, sensor tech, and purser/exec. Generally, a medic and eight small craft pilots are carried in niches, while six gunners, and a boarding party of ten troops are in barracks.

As with many other Aslan vessels, the Hkualriy has converted one of its staterooms into a Shrine of Heroes, a chamber where computer consoles allow a complete holographic record of past battles, heroes, or other inspirational events to be called up. The room is used for meditation and contemplation of the heroic traditions of the Aslan race. 

Actual volume: 799.5 tons
Crew comfort:     -1
Passenger demand: -5

[code]
   Tons	 Component                          	  MCr	Notes
-------	 -----------------------------------	-----	--------------------
    800	 Unstreamlined Hull                 	   26	U
      8	 Landing legs with pads             	    8	
      8	 Flotation hull                     	    8	
      0	 Jump Plates                        	  0.8	
     32	 AV=26. 2 Blast Plate               	    0	
    320	 Jump Fuel (4  parsecs)             	    0	4 parsec jump, at 80t per parsec
   28.8	 Plant Fuel (one month)             	    0	one month
     85	 Jump Drive-4 (R)                   	   85	J 4
      1	 Fuel Purifiers 4t/hr               	    1	4t/hr
      1	 Fuel Scoops 100t/hr                	  0.1	100t/hr
   24.5	 Mod PowerPlant R (R4)              	 24.5	R4
   15.5	 Mod Maneuver Drive R (R4)          	   31	R4
      0	 AR Surf Communicator               	  1.5	
      1	 AR Ant Jammer                      	  1.5	
      1	 AR Ant Neutrino Detector           	  1.5	
      1	 AR Ant EMS                         	  1.5	
      1	 AR Ant Stealth Mask                	  1.5	
      0	 Vd Surf Proximeter                 	  0.6	
      0	 Vd Surf Densitometer               	  0.6	
      1	 AR T3 CommCaster                   	    6	
      2	 2x Vd T3 Sandcaster                	  2.2	#2 
      6	 2x Vd B1 Beam Laser                	    7	#2 
      9	 3x AR B1 Missile                   	  9.6	#3 
      5	 Computer Model/5 std               	   27	
      2	 Life Support Long Term             	    2	40 person-months
     12	 3x Squad Barracks                  	  0.6	#3 (5) R1 R1 R2 R2 R3
      2	 Clinic                             	    1	
      2	 Counsellor                         	  0.2	
      7	 Standard Bridge                    	  0.9	2cc 5op 0ws
      2	 Shrine of Heroes                   	    0	
     16	 4x Crew Lounge                     	    0	#4 
     36	 2x Crew Cluster                    	  1.8	#2 4 + common + fresher
      8	 8x Spacer Niche                    	  0.8	#8 1 crew
      1	 Crew Common Fresher                	    1	10 crew
     27	 Cargo Hold Basic                   	    0	
     80	 2x Slow Pinnace                    	   36	#2 
     50	 5x Fighter                         	   90	#5 
      4	 Vehicle Lock                       	    0	
[/code]

[code]
[/code]

