Defender D-DA00 undefined MCr205


A Low Guard ship.

Using a 400-ton, TL13 hull, the Defender mounts G-drive K, giving an orbital performance of 5G for up to one year of operations. Attached to the bridge is a Computer Model/4. There are 27 staterooms and no low berths. Installed weaponry include 2 triple turret Beam Lasers, 1 triple turret Sandcaster, and 1 Bay Missile. Cargo capacity is 20 tons. The ship has an airframe hull. 

Carried craft include 1 MAMBA-15 Attack Launch in a hull niche. The ship has 3 officers and 24 crew divided into three shifts. 

Actual volume: 391 tons
Crew comfort:     +0
Passenger demand: -5

[code]
   Tons	 Component                          	  MCr	Notes
-------	 -----------------------------------	-----	--------------------
    400	 Airframe Hull, lifters, 4 a/l free 	   30	A, lifters, 4 a/l free
      4	 Landing legs with pads             	    4	
      8	 Submergence hull                   	    8	
      0	 AV=28. 1 EMP Charged               	    0	
     16	 AV=28. 2 Kinetic Charged           	    0	
      0	 AV=0. c Reflec                     	    0	
      0	 Jump Fuel (0  parsec)              	    0	0 parsec jump, at 0t per parsec
      0	 Plant Fuel (0 months)              	    0	0 months
     90	 Gravitic Drive-5 (K)               	   45	5 G
      7	 PowerPlant-1 (B)                   	    7	P 1
      0	 AR Surf Basic C-E-N-T              	    5	
      0	 AR Surf Grav Sensor                	    2	
      2	 2x Magazine                        	    0	#2 50 x Size-5
     50	 AR Bay Missile                     	  5.2	
      1	 Vd T3 Sandcaster                   	  1.1	
      8	 2x G T3 Beam Laser                 	   17	#2 
      3	 B Nuclear Damper                   	    2	
      2	 B Meson Screen                     	    2	
      4	 Computer Model/4                   	   18	
      1	 Life Support Standard              	    1	21 people
      1	 Life Support Adaptable             	    1	4 sophonts
      2	 Clinic                             	    1	
      2	 Counsellor                         	  0.2	
     16	 Spacious Bridge                    	    1	3cc 4op 1ws
     18	 3x Officer Suite                   	  1.2	#3 fresher + safe
    102	 6x Crew Cluster                    	  5.4	#6 4 + common + fresher
     20	 Cargo Hold Basic                   	    0	
      1	 Mail Vault                         	    1	for express contracts
     15	 MAMBA-15 Attack Launch             	   35	for boarding actions
     10	 Hangar Lock                        	    0	
      8	 Hull Niche                         	   12	Half Vehicle Volume
[/code]

[code]
[/code]

