Merchant R-KA20 Ningrid Maz MCr234.5

Owner: Kursae



Actual volume: 953 tons
Crew comfort:     +4
Passenger demand: +3

[code]
   Tons	 Component                          	  MCr	Notes
-------	 -----------------------------------	-----	--------------------
   1000	 Airframe Hull, lifters             	   82	A, lifters
      0	 Jump Grid                          	   10	
     10	 Landing legs with pads             	   10	
      5	 Fins                               	  2.5	
      0	 AV=36. 1 Kinetic Charged           	    0	
      0	 AV=0. c Ablat                      	    0	
      0	 Jump Fuel (0  parsec)              	    0	0 parsec jump, at 0t per parsec
     64	 Plant Fuel (4 months)              	    0	4 months
      1	 Fuel Scoops                        	  0.1	
      1	 Fuel Intakes                       	  0.1	
      2	 2x Fuel Purifiers                  	  0.2	#2 
     55	 Hop Drive-2 (K)                    	   55	H 2
   2.31	 Adv PowerPlant-2 (B)               	    7	P 2
   0.99	 Adv Maneuver Drive-2 (B)           	    6	2 G
      0	 AR Surf CommPlus                   	  1.5	
      0	 AR Surf HoloVisor                  	  1.5	
      0	 SR Surf Scanner                    	  1.2	
      1	 Vd T3 Tractor/Pressor              	    6	
      1	 Vd T3 DataCaster                   	    2	
      1	 Vd T3 Antimatter Sand              	  1.1	
      1	 AR T3 Missile                      	  1.2	
      1	 Life Support Standard              	    1	10 person-months
      1	 Life Support Adaptable             	    1	10 sophonts
      3	 Computer Model/3 std               	 10.5	
      8	 Gunners' Barracks                  	  0.2	(5) R1 R1 R2 R2 R3
     44	 Spacious Bridge                    	  1.1	2cc 5op 4ws
     40	 10x Crew Stateroom                 	    1	#10 1 crew
     48	 6x Crew Lounge                     	    0	#6 
      3	 3x Crew Shared Fresher             	  1.5	#3 4 crew
     20	 Workshop                           	    0	
      1	 Mail Vault                         	    0	for express contracts
    300	 Cargo Hold Basic                   	    0	
      2	 Cargo Lock                         	    0	
     25	 25x Low Berth                      	  2.5	#25 1 passenger
      4	 4x Air Lock                        	  0.4	#4 
    100	 25x Standard Stateroom             	  2.5	#25 1 passenger
     96	 12x Passenger Lounge               	    0	#12 
      7	 7x Shared Fresher                  	  3.5	#7 4 passengers
     10	 Large Vehicle Lock                 	    0	
     95	 Shuttle                            	   22	
[/code]

[code]
[/code]

