Scout/Courier S-BA20 Pona Thirg MCr75.3

Owner: Kursae



Actual volume: 155 tons
Crew comfort:     +7
Passenger demand: -5

[code]
   Tons	 Component                          	  MCr	Notes
-------	 -----------------------------------	-----	--------------------
    200	 Airframe Hull, lifters             	   18	A, lifters
      0	 Jump Grid                          	    2	
      2	 Landing legs with pads             	    2	
      1	 Fins                               	  0.5	
      0	 AV=36. 1 Kinetic Charged           	    0	
      0	 AV=0. c Ablat                      	    0	
      0	 Jump Fuel (0  parsec)              	    0	0 parsec jump, at 0t per parsec
   12.8	 Plant Fuel (4 months)              	    0	4 months
      1	 Fuel Scoops                        	  0.1	
      1	 Fuel Intakes                       	  0.1	
      2	 2x Fuel Purifiers                  	  0.2	#2 
     15	 Hop Drive-2 (B)                    	   15	H 2
   2.31	 Adv PowerPlant B (R2)              	    7	R2
   0.99	 Adv Maneuver Drive B (R2)          	    6	R2
      0	 AR Surf CommPlus                   	  1.5	
      0	 AR Surf HoloVisor                  	  1.5	
      0	 SR Surf Scanner                    	  1.2	
      1	 Vd T3 Tractor/Pressor              	    6	
      1	 Life Support Standard              	    1	10 person-months
      1	 Life Support Adaptable             	    1	10 sophonts
      3	 Computer Model/3 std               	 10.5	
     20	 Spacious Bridge                    	  0.6	1cc 4op 0ws
     16	 4x Crew Stateroom                  	  0.4	#4 1 crew
     32	 4x Crew Lounge                     	    0	#4 
      1	 Crew Shared Fresher                	  0.5	4 crew
     20	 Workshop                           	    0	
      1	 Mail Vault                         	    0	for express contracts
      1	 2x Air Lock                        	  0.2	#2 
      8	 Cargo Hold Basic                   	    0	
     12	 Vehicle Hangar                     	    0	
[/code]

[code]
[/code]

