Fast Packet UF-AL20 Metanath Pajan MCr72.2

Owner: Kursae

Using a 100-ton, TL19 hull, the Metanath Pajan Fast Packet mounts maneuver drive-A and power plant-A, giving a performance of 2G acceleration. A modified hop drive gives performance of Hop-2.  Fuel tankage supports 3 months of operations, or 1 month of operations and 3 hop-1s. Attached to the bridge is a Computer Model/2. There are 2 large spacer niches and 4 stasis berths. Installed firmpoint weaponry includes 1 T3 AM Missile, 1 T3 Tractor/Pressor, and 1 T3 DataCaster. The 37 ton "core" ship does not have cargo space. The ship has a lift body hull, with scoops and intakes for frontier refueling.  

The ship has 4 grapples, designed to connect to four pods.  Each pod may displace up to 35 tons.  Common pods include fuel tankage, cargo pods, or additional living space. When the total volume is over 150 tons, the ship is capable of Hop-1, Maneuver-1, and Power-1.


Actual volume: 37.5 tons
Crew comfort:     -3
Passenger demand: -5

[code]
   Tons	 Component                          	  MCr	Notes
-------	 -----------------------------------	-----	--------------------
    100	 Lift body Hull, lifters            	   17	L, lifters
      0	 Jump Grid                          	    1	
      1	 Landing legs with pads             	    1	
      2	 Submergence hull                   	    4	
      0	 AV=38. 1 Kinetic Charged           	    0	
      0	 Jump Fuel (0  parsec)              	    0	0 parsec jump, at 0t per parsec
    4.5	 Plant Fuel (3 months)              	    0	3 months
      1	 Ult PowerPlant A (R2)              	    8	R2
    0.5	 Ult Maneuver Drive A (R2)          	    8	R2
      1	 Fuel Intakes                       	  0.1	
      1	 Fuel Scoops                        	  0.1	
      2	 2x Fuel Purifiers                  	  0.2	#2 
    7.5	 Mod Hop Drive B (R2), E=5          	  7.5	R2
    0.5	 SR T3 AM Missile                   	  5.5	
    0.5	 D T3 Tractor/Pressor               	  5.5	
    0.5	 D T3 DataCaster                    	  1.5	
      2	 Computer Model/2 std               	    5	
      1	 Life Support Standard              	    1	10 person-months
      1	 Life Support Adaptable             	    1	10 sophonts
    1.5	 Cramped Bridge                     	  0.6	3cc 0op 0ws
    0.5	 Crew Shared Fresher                	  0.5	4 crew
      3	 2x Spacer Niche                    	  0.2	#2 1 crew
      2	 4x Stasis Berth                    	  0.4	#4 1 passenger
    0.5	 Air Lock                           	  0.1	
      4	 4x Grapple (1)                     	    4	#4 up to 35t
[/code]

[code]
[/code]

