Yacht Y-BU13 Daedalus MCr72.5

Owner: Llellewyloly

Using a 200-ton, TL16 hull, the Daedalus-class Yacht is a Llellewyloly noble’s transport. It mounts jump drive-C, maneuver drive-A, and power plant-C, giving a performance of jump-3 and 1G acceleration. Fuel tankage supports a 3 parsec jump, at 18t per parsec, and one month of operations. Attached to the bridge is a Computer Model/3. There are two crew staterooms capable of carrying six Llellewyloly crew, five passenger staterooms, and no low berths. Cargo capacity is 4 tons. The ship has an unstreamlined hull, with scoops and intakes for frontier refueling. 
The ship carries one Fast Boat in a hangar. The ship requires 6 crew, and typically carries three high passengers and eight assistants.


Actual volume: 199.5 tons
Crew comfort:     +0
Passenger demand: +0

[code]
   Tons	 Component                          	  MCr	Notes
-------	 -----------------------------------	-----	--------------------
    200	 Unstreamlined Hull, lifters, 2 a/l 	    8	U, lifters, 2 a/l free
      2	 Landing legs with pads             	    2	
      0	 AV=32. 1 EMP Charged               	    0	
     54	 Jump Fuel (3  parsecs)             	    0	3 parsec jump, at 18t per parsec
    5.4	 Plant Fuel (one month)             	    0	one month
      2	 Maneuver Drive-1 (A)               	    4	1 G
      1	 Fuel Scoops                        	  0.1	100 t/hr
      1	 Fuel Intakes                       	  0.1	40 t/hr
     10	 Mod Jump Drive C (R3)              	   10	R3
      5	 Mod PowerPlant C (R3)              	    5	R3
      0	 AR Surf Basic C-R-T                	    6	
      1	 AR Ant Basic C-E-N-T               	  4.5	
      3	 Computer Model/3                   	 10.5	
      2	 Life Support Long Term             	    2	84 people
      2	 Clinic                             	    1	
      1	 Life Support Luxury                	    1	4 high passengers
      6	 Standard Bridge                    	  0.6	1cc 4op 1ws
      4	 2x Crew Triple                     	  0.2	#2 3 crew
      1	 Crew Common Fresher                	    1	10 crew
     23	 Crew Commons                       	    0	
      4	 Cargo Hold Basic                   	    0	
     17	 Stateroom Cluster                  	  0.9	4 + common + fresher
      2	 Standard Stateroom                 	  0.1	1 passenger
    0.5	 Shared Fresher                     	  0.5	4 passengers
      3	 Passenger Commons                  	    0	
     10	 Hangar Lock                        	    0	
     40	 Fast Boat + Hangar                 	   15	m1bis 3
[/code]

[code]
[/code]

