Exploratory Trader AL-CP13 Monstrosity MCr112.3

Owner: Republic of Regina

Using a 300-ton planetoid hull, the Monstrosity Class Exploratory Trader mounts jump drive-E, maneuver drive-B, and power plant-E, giving a performance of jump-3 and 1G acceleration. Fuel tankage supports a 1 parsec jump, at 27t per parsec, and one month of operations. Attached to the bridge is a Computer Model/3  . There are 2 staterooms and 10 low berths. Installed weaponry include 1 T3 Missile, 1 T3 Beam Laser, and 1 T3 Sandcaster. Cargo capacity is 40 tons, plus what the shuttle can carry.

Carried craft includes 1 grappled 70 ton shuttle. The ship has 10 crew, and can carry 8 passengers and 10 low passengers. 

Overtonnage: 31 tons
Crew comfort:     +0
Passenger demand: +0

[code]
   Tons	 Component                          	  MCr	Notes
-------	 -----------------------------------	-----	--------------------
    300	 Planetoid Hull, lifters, 3 a/l free	    3	P, lifters, 3 a/l free
     24	 AV=60. 3 EMP FeN                   	    0	
     27	 Jump Fuel (1  parsec)              	    0	1 parsec jump, at 27t per parsec
    8.1	 Plant Fuel (one month)             	    0	one month
      3	 Maneuver Drive-1 (B)               	    6	1 G
     15	 Mod Jump Drive E (R3)              	   15	R3
      8	 Mod PowerPlant E (R3)              	    8	R3
     20	 Mod Collector C (R2)               	   10	R2
      1	 Fuel Purifier                      	    1	
      1	 Fuel Transfer Pumps                	    1	
      0	 AR Surf Basic C-R-T                	    6	
      1	 AR T3 Missile                      	  1.2	
      1	 Vd T3 Beam Laser                   	  1.5	
      1	 Vd T3 Sandcaster                   	  1.1	
      2	 B Black Globe                      	    5	
      3	 Computer Model/3                   	 10.5	
      2	 Life Support Long Term             	    2	84 people
      1	 Life Support Luxury                	    1	4 high passengers
      1	 Life Support Adaptable             	    1	4 sophonts
      2	 Clinic                             	    1	
     16	 Spacious Bridge                    	  0.9	2cc 5op 1ws
     34	 2x Crew Cluster                    	  1.8	#2 4 + common + fresher
      6	 Officer Suite                      	  0.4	fresher + safe
      1	 Spacer Niche                       	  0.1	1 crew
      5	 10x Low Berth                      	    1	#10 1 passenger
     40	 Cargo Hold Basic                   	    0	
     34	 2x Stateroom Cluster               	  1.8	#2 4 + common + fresher
     70	 Shuttle                            	   28	m3 3 K L2 +5
      4	 4x Grapple                         	    4	#4 1 pair per 35t
[/code]

[code]
[/code]

