Battle Cruiser CB-6VYS63 Arrghonz MCr144223

Owner: Vargr

Using a 384,000-ton, TL14 hull, the Arrghonz Class Battle Cruiser mounts jump drive-Z240, maneuver drive-Z480, and power plant-Z480, giving a performance of jump-3 and 6G acceleration. Fuel tankage supports a 3 parsec jump, at 34560t per parsec, and 2 months of operations. Attached to the bridge is a Computer Model/6. There are 36 officer suites, 300 staterooms, 450 spacer niches, 450 spacer bunks, and no low berths. Gunnery barracks hold up to 1400 gunnery crew.

Installed weaponry include a Factor-T Meson Spine, 100 LBay Missiles, 100 LBay Particle Accelerators, 100 LBay Pulse Lasers, and 100 LBay Sandcasters. The ship has 6 layers of kinetic charged armor (AV 168), and mounts a meson screen, nuclear damper, and magnetic scrambler for defense. Cargo capacity is 1000 tons. The ship has a streamlined hull.

The ship carries 30 Fast Fighters (30 tons each). The ship has 2,670 crew, split into three shifts.


Actual volume: 382330 tons
Crew comfort:     -3
Passenger demand: -5

[code]
   Tons	 Component                          	  MCr	Notes
-------	 -----------------------------------	-----	--------------------
 384000	 Streamlined Hull, lifters, 3840 a/l	23042	S, lifters, 3840 a/l free
  -1920	 No Landers                         	    0	
  76800	 AV=168. 6 Kinetic Charged          	    0	
 103680	 Jump Fuel (3  parsecs)             	    0	3 parsec jump, at 34560t per parsec
  41472	 Plant Fuel (2 months)              	    0	2 months
  30000	 Imp Jump Drive Z240 (R3)           	30000	R3
  22560	 Imp Maneuver Drive Z480 (R6)       	45120	R6
  35040	 Imp PowerPlant Z480 (R6)           	35040	R6
      0	 AR Surf Basic C-R-T                	    6	
      0	 DS Surf Military Sensors 14        	   12	
      0	 G Surf Basic Survey 12             	  8.9	
   7000	 LR SME Meson Gun                   	 1055	
  20000	 100x LR LBay Missile               	 3020	#100 
  20000	 100x LR LBay Particle Accelerator  	 3250	#100 
  10000	 100x Vd LBay Pulse Laser           	 1030	#100 
  10000	 100x Vd LBay Sandcaster            	 1010	#100 
    101	 LBay Meson Screen                  	   11	
    102	 LBay Nuclear Damper                	   11	
    101	 LBay Mag Scrambler                 	   11	
      6	 Computer Model/6                   	   39	
    600	 300x Life Support Long Term        	  600	#300 84 people
    200	 100x Clinic                        	  100	#100 
   1200	 20x Gunnery Barracks               	   60	#20 (70) 3 pl + O3 O2 R5 R3
   1682	 Spacious Bridge                    	 84.3	3cc 837op 1ws
    400	 100x Crew Commons                  	    0	#100 
    216	 36x Officer Suite                  	 14.4	#36 fresher + safe
   1275	 75x Crew Cluster                   	 67.5	#75 4 + common + fresher
    450	 450x Spacer Niche                  	   45	#450 1 crew
    225	 450x Spacer Bunks                  	   45	#450 1 crew
     90	 90x Crew Common Fresher            	   90	#90 10 crew
     30	 15x Fighter Crew Double            	  1.5	#15 2 crew
     20	 Cargo Hold Basic                   	    0	
    100	 10x Hangar Lock                    	    0	#10 
    900	 30x Fast Fighter                   	  450	#30 m1bis 3
[/code]

[code]
[/code]

