Owner, QSP, AV, Name, Fuel, CPU, Br., Crew, Eng, Stew, Hold, Pass, Low, MCr, H1, H2, H3, H4, H5, H6, H7, H8, H9, H10, H11, H12, H13, H14, H15, H16
ImJG,A-BA11,12,Perseus,20,1,1,6,1,0,82,6,20,52.5,T1 Empty,T1 Empty,,,,,,,,,,,,,,,
Im,A-BS11,10,Beowulf,21,1,2,6,1,0,82,6,20,50.6,T1 Empty,T1 Empty,,,,,,,,,,,,,,,
Dr,A-BS11,30,Miymosa,19,1,1,4,1,1,88,8,0,38.7,T1 M,T1 M,,,,,,,,,,,,,,,
Rr,A-BU10,36,Beowulf Mark IV,2,1,2,4,0,1,75,14,16,37.2,,,,,,,,,,,,,,,,,
Rr,A-BU11,34,Beowulf Mk III,42,1,2,5,1,1,60,8,6,35.5,T1 Empty,T1 Empty,,,,,,,,,,,,,,,
As,A-DS12,11,Eakhau,84,2,2,7,3,1,164,8,16,104,T3 Empty,T3 Empty,T3 Empty,T3 Empty,,,,,,,,,,,,,
ImTu,A-EU42,7,Bakaal Sunflower,165,3,2,9,5,1,20,9,0,195.7,T3 Empty,T3 Empty,T3 Empty,T3 Empty,T3 Empty,,,,,,,,,,,,
Kursae,A-FA20,36,Guzler Laeyam,38,3,4,8,2,2,150,17,4,201.2,T3 U U U,T3 U U U,T3 D D D,T3 D D D,T3 Jump Damper,T3 Jump Damper,,,,,,,,,,,
ImCl,A-FU30,28,Bigtop One,6,5,0.5,6,0,0,10,1,0,216.5,T3 L L L,T3 L L L,T3 S S S,T3 S S S,,,,,,,,,,,,,
Rr,A2-AU20,36,Compact Marava-18,2,1,2,3,0,1,50,8,8,31.3,,,,,,,,,,,,,,,,,
Im,A2-BS12,10,Empress Marava,43,1bis,1,6,1,0,61,7,4,58.8,T3 L S M,,,,,,,,,,,,,,,,
Rr,A2-BS22,15,Beowulf 2,43,2,2,7,1,1,50,8,8,59.1,T3 M M M,T3 L L L,,,,,,,,,,,,,,,
Dr,A2-CA22,12,Loskay,66,2,1,8,3,1,55,12,9,103,T3 L L L,T3 S S S,,,,,,,,,,,,,,,
Im,A2-CL22,28,Fat Cat,58,1bis,3,8,2,2,100,16,0,106.5,,,,,,,,,,,,,,,,,
Rr,A2-DA11,17,Grendel,84,1,2,6,3,2,90,16,8,109.7,T3 L L L,T3 S S S,1 ,T3 M M M,T3 M M M,,,,,,,,,,,,
Kogl,A2-R2S12,12,Kogl Trader,668,3,20,16,27,1,200,8,16,827.2,T3 M M M,T3 M M M,T3 K K K,T3 K K K,T3 S S S,T3 S S S,,,,,,,,,,,
ImDR,AF-BA22,11,Avian,44,2,2,5,1,0,68,6,2,70.4,T3 L S M,T3 Empty,,,,,,,,,,,,,,,
Im,AF-BS41,11,Maada,26,1,1,6,1,0,64,6,10,66.4,T1 Empty,T1 Empty,,,,,,,,,,,,,,,
Da,AF-DU32,6,Zdirese Maghiz,82,3,2,10,3,1,120,8,16,104.9,T3 M M M,T3 S S S,T3 L L L,T3 L L L,,,,,,,,,,,,,
Rr,AL-BU11,17,Kerjon,22,2,2,9,2,1,20,8,4,97.2,T3 M M M,T3 L L L,,,,,,,,,,,,,,,
Rr,AL-CL22,15,Sunfish,59,2bis,1,9,2,1,70,8,8,115.9,T3 S S S,T3 M M M,T3 L L L,,,,,,,,,,,,,,
Rr,AL-CP13,60,Monstrosity,35,3,2,9,2,1,40,8,10,112.3,T3 M M M,T3 L L L,T3 S S S,1 Black Globe,,,,,,,,,,,,,
Im,AL-HS23,12,Lanthium Petal,261,3,2,15,10,0,250,4,0,253.1,T1 J,T3 S S S,T3 S S S,T3 M M M,T3 M M M,1 ,T3 L L L,T3 L L L,,,,,,,,,
